camera_id,image_id,car_count,bus_count,truck_count,motorcycle_count,vehicle_count,congestion_level,model_name,conf,imgsz,analyzed_at
TCM014,TCM014_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:54
TCM014,TCM014_3,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:54
TCM015,TCM015_0,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:54
TCM015,TCM015_1,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:55
TCM015,TCM015_2,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:55
TCM015,TCM015_3,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:55
TCM016,TCM016_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:56
TCM016,TCM016_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:56
TCM016,TCM016_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:56
TCM016,TCM016_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:56
TCM017,TCM017_0,8,1,1,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:57
TCM017,TCM017_1,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:57
TCM017,TCM017_2,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:57
TCM017,TCM017_3,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:57
TCM018,TCM018_0,10,0,1,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:58
TCM018,TCM018_1,12,0,1,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:58
TCM018,TCM018_2,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:58
TCM018,TCM018_3,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:59
TCM019,TCM019_0,10,1,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:59
TCM019,TCM019_1,12,0,1,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:59
TCM019,TCM019_2,18,0,0,0,18,red,yolo26n.pt,0.4,1280,2026-06-01T18:24:00
TCM019,TCM019_3,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:00
TCM020,TCM020_0,13,0,1,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:00
TCM020,TCM020_1,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:00
TCM020,TCM020_2,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:01
TCM020,TCM020_3,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:01
TCM021,TCM021_0,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:01
TCM021,TCM021_1,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:02
TCM021,TCM021_2,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:02
TCM021,TCM021_3,12,0,1,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:02
TCM022,TCM022_0,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:02
TCM022,TCM022_1,10,1,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:03
TCM022,TCM022_2,8,0,1,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:03
TCM022,TCM022_3,8,1,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:03
TCM023,TCM023_0,7,1,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:04
TCM023,TCM023_1,9,0,1,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:04
TCM023,TCM023_2,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:04
TCM023,TCM023_3,7,0,2,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:05
TCM024,TCM024_0,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:05
TCM024,TCM024_1,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:05
TCM024,TCM024_2,6,1,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:06
TCM024,TCM024_3,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:06
TCM025,TCM025_0,12,0,0,0,12,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:06
TCM025,TCM025_1,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:07
TCM025,TCM025_2,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:07
TCM025,TCM025_3,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:07
TCM026,TCM026_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:07
TCM026,TCM026_1,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:08
TCM026,TCM026_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:08
TCM026,TCM026_3,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:08
TCM027,TCM027_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:09
TCM027,TCM027_1,3,0,1,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:09
TCM027,TCM027_2,1,1,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:09
TCM027,TCM027_3,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:09
TCM028,TCM028_0,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:10
TCM028,TCM028_1,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:10
TCM028,TCM028_2,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:10
TCM028,TCM028_3,4,1,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:11
TCM029,TCM029_0,15,0,1,0,16,red,yolo26n.pt,0.4,1280,2026-06-01T18:24:11
TCM029,TCM029_1,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:12
TCM029,TCM029_2,13,0,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:12
TCM029,TCM029_3,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:12
TCM030,TCM030_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:13
TCM030,TCM030_1,6,1,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:13
TCM030,TCM030_2,2,0,1,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:13
TCM030,TCM030_3,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:14
TCM031,TCM031_0,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:14
TCM031,TCM031_1,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:14
TCM031,TCM031_2,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:15
TCM031,TCM031_3,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:15
TCM032,TCM032_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:15
TCM032,TCM032_1,9,1,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:16
TCM032,TCM032_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:16
TCM032,TCM032_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:16
TCM033,TCM033_0,0,0,1,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:16
TCM033,TCM033_1,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:17
TCM033,TCM033_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:17
TCM033,TCM033_3,8,0,1,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:17
TCM034,TCM034_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:18
TCM034,TCM034_1,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:18
TCM034,TCM034_2,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:18
TCM034,TCM034_3,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:19
TCM035,TCM035_0,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:19
TCM035,TCM035_1,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:19
TCM035,TCM035_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:19
TCM035,TCM035_3,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:20
TCM036,TCM036_0,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:20
TCM036,TCM036_1,7,0,1,1,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:20
TCM036,TCM036_2,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:21
TCM036,TCM036_3,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:21
TCM037,TCM037_0,12,1,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:21
TCM037,TCM037_1,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:22
TCM037,TCM037_2,8,0,1,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:22
TCM037,TCM037_3,13,0,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:22
TCM038,TCM038_0,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:23
TCM038,TCM038_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:23
TCM038,TCM038_2,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:23
TCM038,TCM038_3,13,0,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:23
TCM039,TCM039_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:24
TCM039,TCM039_1,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:24
TCM039,TCM039_2,2,0,1,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:24
TCM039,TCM039_3,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:25
TCM040,TCM040_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:25
TCM040,TCM040_1,2,0,1,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:25
TCM040,TCM040_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:26
TCM040,TCM040_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:26
TCM041,TCM041_0,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:26
TCM041,TCM041_1,14,0,0,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:27
TCM041,TCM041_2,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:27
TCM041,TCM041_3,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:27
TCM042,TCM042_0,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:28
TCM042,TCM042_1,14,0,1,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:28
TCM042,TCM042_2,6,0,1,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:28
TCM042,TCM042_3,19,0,0,0,19,red,yolo26n.pt,0.4,1280,2026-06-01T18:24:28
TCM043,TCM043_0,8,0,0,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:29
TCM043,TCM043_1,11,1,0,0,12,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:29
TCM043,TCM043_2,3,1,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:29
TCM043,TCM043_3,12,0,0,0,12,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:30
TCM044,TCM044_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:30
TCM044,TCM044_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:30
TCM044,TCM044_2,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:31
TCM044,TCM044_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:31
TCM045,TCM045_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:31
